"B01001_001E","B11001_001E","B19049_005E","zipcode"
"864","337","60833","03779"
"365","188","32386","03780"
"2083","766","48750","03781"
"2944","1320","60625","03782"
"3893","1821","36272","03784"
"2909","1081","31850","03785"
"21598","10275","43579","03801"
"3566","1417","41818","03809"
"1648","698","44044","03810"
"6739","2642","38798","03811"
"690","311","43789","03812"
"3490","1399","25231","03813"
"2234","957","36500","03814"
"1450","539","66500","03816"
"786","418","24048","03817"
"3848","1698","35625","03818"
"4379","1545","43092","03819"
"29907","12440","34624","03820"
"1927","579","65833","03823"
"14508","3344","70446","03824"
"8445","2873","49279","03825"
"2660","994","21786","03826"
"3051","1149","49286","03827"
"1235","562","29639","03830"
"413","175","45833","03832"
"20823","8164","44908","03833"
"6726","2613","23967","03835"
"1077","566","38646","03836"
"1138","414","35121","03837"
"1166","528","50231","03838"
"3795","1488","25000","03839"
"3533","1355","71840","03840"
"6199","2508","40714","03841"
"15260","6849","44647","03842"
"2247","835","76875","03844"
"990","479","42372","03845"
"874","381","62344","03846"
"185","108","0","03847"
"6034","2267","39280","03848"
"1307","574","34632","03849"
"276","132","40500","03850"
"3914","1515","33466","03851"
"646","198","0","03852"
"868","400","77917","03853"
"941","428","82222","03854"
"2614","964","44792","03855"
"1862","594","38750","03856"
"8986","3710","44852","03857"
"4596","1679","39297","03858"
"4111","1775","29015","03860"
"4337","1756","49688","03861"
"4316","1764","65563","03862"
"1845","674","49375","03864"
"7667","3016","38725","03865"
"20295","8504","38969","03867"
"5827","2399","40586","03868"
"2522","1018","44688","03869"
"5282","2273","57254","03870"
"39","26","0","03871"
"3834","1620","33466","03872"
"5625","1809","46250","03873"
"8876","3978","42617","03874"
"919","397","54940","03875"
"11859","4751","30846","03878"
"1461","508","40156","03882"
"88","41","14792","03883"
"3944","1317","58922","03884"
"7208","2673","53894","03885"
"1970","832","30625","03886"
"2175","856","39868","03887"
"283","121","0","03890"
"6302","2678","46219","03894"
"7218","2562","29861","03901"
"1962","889","64792","03902"
"6219","2606","49663","03903"
"8054","3671","37014","03904"
"1519","754","26607","03905"
"4568","1797","36964","03906"
"1174","588","46538","03907"
"7219","2695","42850","03908"
"10342","4486","35824","03909"
"136","77","40000","03910"
"222","124","250001","03911"
"2237","902","39013","04001"
"7335","2798","36250","04002"
"656","251","21058","04003"
"23525","9597","27080","04005"
"30","17","0","04006"
"2716","1114","38641","04008"
"5179","2348","25870","04009"
"1358","506","31250","04010"
"20457","8411","38588","04011"
"3707","1585","46250","04015"
"263","158","28750","04017"
"72","15","0","04019"
"1546","597","19712","04020"
"5933","2078","48534","04021"
"1053","470","49821","04022"
"622","214","28333","04024"
"5984","2251","32799","04027"
"1609","730","38906","04029"
"2100","743","19570","04030"
"7899","3466","33909","04032"
"3877","1400","31719","04037"
"16217","5366","41786","04038"
"7107","2831","40469","04039"
"3040","1283","39115","04040"
"1704","581","26667","04041"
"4290","1652","36500","04042"
"10844","4449","52154","04043"
"7526","3019","42250","04046"
"1649","651","39659","04047"
"2930","948","21548","04048"
"3607","1355","27679","04049"
"329","161","52083","04050"
"1052","449","60938","04051"
"3806","1564","47175","04055"
"128","61","21944","04056"
"9","0","0","04057"
"3429","1225","19250","04061"
"16851","6388","37568","04062"
"259","187","12902","04063"
"8452","4010","35147","04064"
"344","196","85233","04066"
"1591","664","24569","04068"
"1427","585","48056","04069"
"5168","2159","36583","04071"
"18455","7469","28558","04072"
"16294","6663","25143","04073"
"18685","7315","46889","04074"
"2659","985","30104","04076"
"3814","1662","56442","04079"
"4648","1895","23422","04083"
"8339","3016","36250","04084"
"1513","628","48164","04085"
"8869","3564","57407","04086"
"2067","738","21750","04087"
"2141","659","45750","04088"
"9643","4123","43989","04090"
"904","336","29444","04091"
"17410","7594","24586","04092"
"8035","3211","37670","04093"
"1252","524","22813","04095"
"8383","3387","57869","04096"
"3555","1296","50208","04097"
"17646","9231","18011","04101"
"16629","7760","38005","04102"
"30857","13631","32976","04103"
"11100","4394","42169","04105"
"25048","10778","28357","04106"
"9021","3622","42625","04107"
"919","440","32847","04108"
"117","49","0","04109"
"1259","436","90735","04110"
"23180","10075","26754","04210"
"515","213","26786","04216"
"3096","1229","27760","04217"
"1436","585","25278","04219"
"2744","1164","26912","04220"
"1183","443","27404","04221"
"3821","1418","37794","04222"
"2977","1253","22434","04224"
"146","68","32813","04226"
"38","13","0","04227"
"19","10","0","04228"
"171","96","48750","04231"
"105","34","0","04234"
"4344","1671","25938","04236"
"154","71","17500","04237"
"1409","470","27321","04238"
"4883","1874","29479","04239"
"36629","15046","27318","04240"
"4055","1761","30338","04250"
"5010","2031","41000","04252"
"2162","865","24338","04253"
"3181","1340","25750","04254"
"970","321","30625","04255"
"3060","1195","35156","04256"
"2727","1152","16518","04257"
"2583","907","22500","04258"
"3129","1108","22548","04259"
"5489","1931","44583","04260"
"450","194","36000","04261"
"2066","750","44286","04263"
"990","323","54028","04265"
"56","26","21250","04267"
"5019","2111","43500","04268"
"5890","2353","28024","04270"
"0","0","0","04271"
"5346","2237","19740","04274"
"441","206","26250","04275"
"5955","2795","22258","04276"
"6645","2441","26607","04280"
"5177","2220","30208","04281"
"5684","2221","34706","04282"
"976","450","48125","04284"
"408","172","39821","04285"
